join_so_nsubj Vinken 
fed_soo_iobj them 
fed_soo_dobj mousseline 
Knowing_o_dobj meal 
eat_so_nsubj they 
eat_so_dobj one 
gave_soo_nsubj executives 
gave_soo_iobj chefs 
gave_soo_dobj ovation 
looking_s_nsubj they 
registered_so_nsubj Korea 
registered_so_dobj deficit 
reflecting_o_dobj sluggishness 
showed_so_nsubj tallies 
showed_so_dobj deficit 
casting_o_dobj cloud 
stood_s_nsubj Exports 
began_s_nsubj which 
stopped_s_nsubj boom 
increased_so_nsubj exports 
increased_so_dobj % 
announced_so_nsubj Newsweek 
announced_so_dobj rates 
give_soo_nsubj that 
give_soo_iobj advertisers 
give_soo_dobj discounts 
underscore_o_dobj competition 
cost_so_nsubj page 
cost_so_dobj 100,980 
lowered_so_nsubj magazine 
lowered_so_dobj base 
costs_so_nsubj page 
costs_so_dobj $ 
awards_so_nsubj which 
awards_so_dobj credits 
reward_so_nsubj magazine 
reward_so_dobj advertisers 
meet_so_nsubj who 
meet_so_dobj spending 
totaled_so_nsubj pages 
totaled_so_dobj 1,620 
matters_ss_nsubj What 
matters_ss_csubj matters 
doing_s_nsubj we 
gaining_so_nsubj Newsweek 
gaining_so_dobj circulation 
recorded_so_nsubj none 
recorded_so_dobj gains 
had_so_nsubj Time 
had_so_dobj circulation 
leaves_so_nsubj move 
leaves_so_dobj Co. 
values_so_nsubj PS 
values_so_dobj plan 
seemed_s_nsubj rewards 
attracts_so_nsubj That 
attracts_so_dobj attention 
led_s_nsubj that 
seeking_o_dobj approval 
closed_s_nsubj shares 
succeed_so_nsubj They 
succeed_so_dobj Rexinger 
appealing_o_dobj order 
reported_so_nsubj Edison 
reported_so_dobj earnings 
closed_s_nsubj Edison 
upheld_so_nsubj courts 
upheld_so_dobj challenge 
refund_o_dobj expenses 
collecting_s_nsubj utility 
added_so_nsubj Curry 
added_so_dobj $ 
set_so_nsubj Curry 
set_so_dobj rate 
faces_so_nsubj Edison 
faces_so_dobj refund 
involving_o_dobj plant 
seeking_so_nsubj Edison 
seeking_so_dobj $ 
followed_so_nsubj growth 
followed_so_dobj increases 
setting_soo_nsubj sales 
setting_soo_iobj records 
setting_soo_dobj month 
inched_s_nsubj sales 
grew_so_nsubj Sales 
grew_so_dobj % 
benefited_s_nsubj which 
doubled_s_nsubj Sales 
produce_so_nsubj plant 
produce_so_dobj devices 
tied_s_nsubjpass development 
is_s_nsubj sheet 
providing_so_nsubj it 
providing_so_dobj firm 
heads_s_nsubj he 
announced_so_nsubj Research 
announced_so_dobj spinoff 
attached_s_nsubj it 
include_so_nsubj that 
include_so_dobj Seymour 
do_s_nsubj you 
include_so_nsubj factors 
include_so_dobj technology 
describe_so_nsubj documents 
describe_so_dobj chips 
contain_so_nsubj Cray-3 
contain_so_dobj processors 
face_so_nsubj Computer 
face_so_dobj competition 
has_so_nsubj which 
has_so_dobj % 
compete_s_nsubj spinoff 
own_s_nsubj they 
calculate_so_nsubj Analysts 
calculate_so_dobj value 
transferring_so_nsubj Research 
transferring_so_dobj $ 
show_s_nsubj sheets 
favored_so_nsubj Research 
favored_so_dobj spinoff 
posted_s_nsubj it 
work_s_nsubj Cray 
had_s_nsubj he 
includes_so_nsubj management 
includes_so_dobj Davenport 
came_s_nsubj All 
employs_so_nsubj which 
employs_so_dobj people 
claiming_o_dobj success 
removed_so_nsubj U.S. 
removed_so_dobj Korea 
watching_s_nsubj it 
face_so_nsubj countries 
face_so_dobj investigations 
placed_os_dobj that 
placed_os_nsubj she 
marketing_o_dobj products 
lauded_so_nsubj Hills 
lauded_so_dobj Korea 
amending_o_dobj law 
introducing_o_dobj legislation 
remain_s_nsubj They 
includes_so_nsubj that 
includes_so_dobj countries 
protecting_os_dobj property 
protecting_os_csubj protecting 
tells_osos_dobj What 
tells_osos_nsubj this 
tells_osos_dobj us 
tells_osos_csubj tells 
met_s_nsubj Rapanelli 
took_so_nsubj who 
took_so_dobj office 
report_so_nsubj Journal 
report_so_dobj events 
stand_s_nsubj that 
CHANGED_so_nsubj THAT 
CHANGED_so_dobj face 
came_s_nsubj II 
stored_o_dobj data 
had_so_nsubj PCs 
had_so_dobj keyboards 
store_o_dobj pages 
have_o_dobj capacity 
were_s_nsubj contributors 
developed_so_nsubj Gates 
developed_so_dobj system 
led_so_nsubj Shugart 
led_so_dobj team 
developed_so_nsubj that 
developed_so_dobj drives 
offer_so_nsubj IBM 
offer_so_dobj PC 
total_so_nsubj shipments 
total_so_dobj $ 
sells_so_nsubj that 
sells_so_dobj products 
has_o_dobj agreement 
gives_soo_nsubj stake 
gives_soo_iobj Faulding 
gives_soo_dobj right 
operate_so_nsubj Ltd. 
operate_so_dobj fields 
has_so_nsubj field 
has_so_dobj reserves 
total_so_nsubj Reserves 
total_so_dobj barrels 
came_s_nsubj action 
totaled_soo_nsubj Imports 
totaled_soo_dobj $ 
totaled_soo_dobj share 
curb_o_dobj spending 
succeed_so_nsubj Akerfeldt 
succeed_so_dobj McAlpine 
cut_so_nsubj Magna 
cut_so_dobj dividend 
wallowing_s_nsubj shares 
closed_s_nsubj shares 
resigned_s_nsubj Stronach 
totaling_o_dobj $ 
went_s_nsubj rest 
offering_o_dobj return 
offer_so_nsubj funds 
offer_so_dobj advantages 
channel_so_nsubj they 
channel_so_dobj payments 
reducing_o_dobj burden 
said_s_nsubj Maxwell 
growing_s_nsubj purchases 
buying_o_dobj $ 
has_so_nsubj company 
has_so_dobj right 
operating_s_nsubj company 
giving_oo_iobj it 
giving_oo_dobj protection 
began_so_nsubj S.p.A. 
began_so_dobj offer 
owns_so_nsubj Montedison 
owns_so_dobj % 
marks_so_nsubj total 
marks_so_dobj decline 
reflects_so_nsubj downturn 
reflects_so_dobj intensity 
surged_s_nsubj currency 
follows_so_nsubj announcement 
follows_so_dobj decline 
Pick_o_dobj country 
sweeping_o_dobj Street 
invest_s_nsubj that 
mirrors_so_nsubj explosion 
mirrors_so_dobj mania 
says_s_nsubj Foot 
fell_s_nsubj They 
issuing_o_dobj number 
trade_s_nsubj that 
brings_so_nsubj surge 
brings_so_dobj number 
are_s_nsubj that 
account_s_nsubj funds 
says_s_nsubj Porter 
is_s_nsubj competition 
stretching_so_nsubj firms 
stretching_so_dobj nets 
urge_so_nsubj planners 
urge_so_dobj investors 
offer_so_nsubj funds 
offer_so_dobj way 
take_so_nsubj it 
take_so_dobj much 
whipsaw_so_nsubj gyrations 
whipsaw_so_dobj funds 
dropped_so_nsubj market 
dropped_so_dobj % 
plunged_so_nsubj Fund 
plunged_so_dobj % 
fell_so_nsubj Fund 
fell_so_dobj % 
trade_s_nsubj funds 
hold_s_nsubj they 
paying_o_dobj premium 
invest_s_nsubj that 
seeking_o_dobj exposure 
represent_so_nsubj ADRs 
represent_so_dobj shares 
buy_sso_nsubj way 
buy_sso_nsubj investors 
buy_sso_dobj funds 
insist_s_nsubj who 
have_s_nsubj I 
come_s_nsubj who 
clear_so_nsubj it 
clear_so_dobj way 
belongs_s_nsubj U.S.S.R. 
stressed_so_nsubj Department 
stressed_so_dobj debts 
face_so_nsubj Soviets 
face_so_dobj obstacles 
inched_s_nsubj index 
was_s_nsubj spending 
was_s_nsubj activity 
draw_so_nsubj I 
draw_so_dobj blank 
growing_s_nsubj sector 
fell_s_nsubj payrolls 
did_s_nsubj index 
cite_so_nsubj They 
cite_so_dobj lack 
provide_so_nsubj that 
provide_so_dobj signals 
lead_s_nsubj that 
had_so_nsubj report 
had_so_dobj news 
see_so_nsubj I 
see_so_dobj signs 
eases_so_nsubj that 
eases_so_dobj inflation 
climbing_oo_iobj % 
climbing_oo_dobj month 
fell_so_nsubj shipments 
fell_so_dobj % 
rose_so_nsubj backlogs 
rose_so_dobj % 
declined_so_nsubj backlogs 
declined_so_dobj % 
accounts_s_nsubj which 
rose_so_nsubj spending 
rose_so_dobj % 
ran_s_nsubj spending 
contrast_s_nsubj figures 
reported_so_nsubj Dodge 
reported_so_dobj increase 
counts_so_nsubj goverment 
counts_so_dobj money 
counts_so_nsubj Dodge 
counts_so_dobj contracts 
includes_so_nsubj government 
includes_so_dobj money 
does_s_nsubj Dodge 
offered_so_nsubj report 
offered_so_dobj evidence 
reported_so_nsubj % 
reported_so_dobj orders 
added_so_nsubj report 
added_so_dobj evidence 
purchased_s_nsubj they 
lengthen_s_nsubj times 
gauges_so_nsubj Each 
gauges_so_dobj difference 
reporting_o_dobj improvement 
reporting_o_dobj worsening 
polled_so_nsubj survey 
polled_so_dobj members 
import_s_nsubj who 
numbered_so_nsubj Items 
numbered_so_dobj dozen 
included_so_nsubj they 
included_so_dobj newcomer 
blamed_so_nsubj They 
blamed_so_dobj demand 
contributed_s_nsubj Sebastian 
are_s_nsubj figures 
are_s_nsubj figures 
have_so_nsubj boomers 
have_so_dobj lot 
drink_so_nsubj Characters 
drink_so_dobj Dogs 
whistle_o_dobj Goode 
watch_o_dobj reruns 
read_so_nsubj They 
read_so_dobj Spillane 
worry_s_nsubj They 
come_s_nsubj part 
belong_s_nsubj who 
perpetuate_so_nsubj who 
perpetuate_so_dobj notion 
has_so_nsubj He 
has_so_dobj girlfriend 
mark_so_nsubj retorts 
mark_so_dobj her 
meets_so_nsubj he 
meets_so_dobj chauffeur 
offers_soo_nsubj who 
offers_soo_iobj hero 
offers_soo_dobj number 
wears_so_nsubj who 
wears_so_dobj sheepskin 
dominating_so_nsubj who 
dominating_so_dobj charts 
carry_o_dobj dashes 
give_so_nsubj Beatles 
give_so_dobj way 
have_so_nsubj ballplayers 
have_so_dobj miles 
named_so_nsubj Polls 
named_so_dobj Hara 
return_so_nsubj Fans 
return_so_dobj balls 
expands_s_nsubj zone 
abide_s_nsubj players 
wear_so_nsubj players 
wear_so_dobj ties 
hosted_os_dobj whom 
hosted_os_nsubj Sony 
frustrating_s_nsubj All 
went_s_nsubj who 
took_so_nsubj Sony 
took_so_dobj lesson 
fired_o_dobj Katzenstein 
took_so_nsubj meeting 
took_so_dobj place 
learned_so_nsubj Katzenstein 
learned_so_dobj something 
worked_s_nsubj Kirkpatrick 
face_o_dobj fine 
bans_so_nsubj Singapore 
bans_so_dobj smoking 
launched_so_nsubj Sulaiman 
launched_so_dobj Week 
has_so_nsubj Korea 
has_so_dobj concerns 
advertising_o_dobj cigarettes 
restricts_o_dobj advertising 
include_so_nsubj which 
include_so_dobj U.S. 
endorsed_so_nsubj cabinet 
endorsed_so_dobj proposal 
balked_s_nsubj government 
renewed_o_dobj application 
name_os_dobj whom 
name_os_nsubj it 
increased_so_nsubj government 
increased_so_dobj charges 
doubled_o_dobj prices 
announced_so_nsubj Korea 
announced_so_dobj $ 
terminated_so_nsubj parliament 
terminated_so_dobj dam 
set_so_nsubj painting 
set_so_dobj record 
sold_s_nsubj it 
expire_s_nsubj warrants 
shot_so_nsubj Lane 
shot_so_dobj Time 
takes_so_nsubj Much 
takes_so_dobj view 
jostle_s_nsubj they 
selling_o_dobj copies 
has_so_nsubj Artist 
has_so_dobj routine 
returns_s_nsubj he 
gives_soo_nsubj She 
gives_soo_iobj Artist 
gives_soo_dobj sense 
alerts_o_dobj him 
owns_so_nsubj who 
owns_so_dobj shop 
lives_s_nsubj who 
resonate_s_nsubj line 
has_so_nsubj He 
has_so_dobj point 
makes_so_nsubj he 
makes_so_dobj it 
ends_s_nsubj movie 
is_s_nsubj anything 
carries_so_nsubj woman 
carries_so_dobj significance 
needed_so_nsubj officials 
needed_so_dobj traitor 
killed_o_dobj client 
brought_so_nsubj she 
brought_so_dobj lover 
is_s_nsubj little 
mention_so_nsubj I 
mention_so_dobj picture 
has_so_nsubj one 
has_so_dobj Peck 
take_o_dobj look 
build_so_nsubj companies 
build_so_dobj sections 
hit_so_nsubj plane 
hit_so_dobj market 
raising_o_dobj fears 
says_s_nsubj Napolitan 
started_s_nsubj that 
says_s_nsubj Bailey 
Take_o_dobj look 
set_so_nsubj that 
set_so_dobj tone 
fills_s_nsubj screen 
gets_s_nsubj commercial 
charges_s_nsubj ad 
hid_o_dobj links 
paid_o_dobj kidnapper 
says_s_nsubj kicker 
wait_s_nsubj he 
says_s_nsubj Siegal 
exist_s_nsubj that 
unleashed_so_nsubj consultants 
unleashed_so_dobj ad 
shows_so_nsubj screen 
shows_so_dobj photos 
says_s_nsubj kicker 
telling_so_nsubj Who 
telling_so_dobj truth 
says_s_nsubj Dinkins 
paid_s_nsubj campaign 
say_s_nsubj managers 
have_so_nsubj he 
have_so_dobj office 
have_so_nsubj organization 
have_so_dobj members 
argues_s_nsubj he 
opened_so_nsubj Wilder 
opened_so_dobj battle 
talks_s_nsubj announcer 
give_o_dobj it 
denies_s_nsubj Coleman 
changed_so_nsubj commercial 
changed_so_dobj dynamics 
transforming_o_dobj it 
featured_so_nsubj counterattack 
featured_so_dobj close-up 
says_s_nsubj voice 
have_so_nsubj you 
have_so_dobj boyfriends 
introduced_so_nsubj who 
introduced_so_dobj bill 
talks_s_nsubj Wilder 
ask_so_nsubj time 
ask_so_dobj him 
introduce_so_nsubj Wilder 
introduce_so_dobj legislation 
did_so_nsubj he 
did_so_dobj technique 
introduced_so_nsubj Wilder 
introduced_so_dobj bill 
lasted_so_nsubj truce 
lasted_so_dobj hours 
carrying_so_nsubj stations 
carrying_so_dobj ads 
raising_so_nsubj Coleman 
raising_so_dobj questions 
began_s_nsubj attacks 
aired_so_nsubj Florio 
aired_so_dobj ad 
featuring_o_dobj drawing 
Consider_o_dobj Courter 
gets_s_nsubj commercial 
swim_s_nsubj Pictures 
purrs_s_nsubj voice 
suing_s_nsubj neighbors 
grows_s_nsubj nose 
cry_s_nsubj partisans 
fills_s_nsubj screen 
lying_s_nsubj Florio 
caused_o_dobj pollution 
shrinks_s_nsubj nose 
telling_o_dobj truth 
is_s_nsubj evidence 
devastating_s_nsubj ad 
building_s_nsubj it 
propelling_so_nsubj investment 
propelling_so_dobj region 
sparking_so_nsubj power 
sparking_so_dobj fears 
posing_o_dobj questions 
approved_soo_nsubj Board 
approved_soo_dobj $ 
approved_soo_dobj figure 
includes_so_nsubj commitment 
includes_so_dobj increases 
following_so_nsubj countries 
following_so_dobj lead 
pumping_o_dobj capital 
contributing_s_nsubj nations 
provide_so_nsubj investment 
provide_so_dobj jobs 
spur_o_dobj growth 
say_s_nsubj analysts 
concentrated_s_nsubj manufacturers 
turn_so_nsubj companies 
turn_so_dobj themselves 
say_s_nsubj analysts 
make_so_nsubj company 
make_so_dobj tubes 
assemble_o_dobj sets 
export_o_dobj them 
meet_s_nsubj ministers 
include_so_nsubj Participants 
include_so_dobj U.S. 
offered_sso_nsubj U.S. 
offered_sso_nsubj year 
offered_sso_dobj plan 
reasserts_so_nsubj proposal 
reasserts_so_dobj intention 
play_so_nsubj U.S. 
play_so_dobj role 
maintaining_os_dobj influence 
maintaining_os_csubj maintaining 
outstrips_so_nsubj Japan 
outstrips_so_dobj U.S. 
outranks_o_dobj it 
pumping_so_nsubj government 
pumping_so_dobj assistance 
convey_so_nsubj they 
convey_so_dobj undertone 
regard_so_nsubj Asians 
regard_so_dobj presence 
believe_so_nsubj Rice 
believe_so_dobj eyes 
spotted_so_nsubj she 
spotted_so_dobj student 
surrendered_s_nsubj Germany 
matched_so_nsubj notes 
matched_so_dobj questions 
taking_s_nsubj student 
had_so_nsubj student 
had_so_dobj answers 
surrendered_so_nsubj student 
surrendered_so_dobj notes 
underline_o_dobj answers 
paid_o_dobj fine 
won_so_nsubj who 
won_so_dobj laurels 
inspired_o_dobj students 
teach_s_nsubj she 
left_so_nsubj she 
left_so_dobj bitterness 
defended_so_nsubj who 
defended_so_dobj her 
casts_so_nsubj case 
casts_so_dobj light 
growing_s_nsubj pressures 
violated_s_nsubj Yeargin 
depended_s_nsubj bonus 
suspects_so_nsubj department 
suspects_so_dobj responsibility 
changed_so_nsubj that 
changed_so_dobj answers 
revising_so_nsubj Texas 
revising_so_dobj practices 
booming_s_nsubj sales 
telegraph_so_nsubj teachers 
telegraph_so_dobj areas 
concentrate_s_nsubj test 
mean_so_nsubj tests 
mean_so_dobj much 
block_so_nsubj scores 
block_so_dobj promotions 
force_o_dobj districts 
mean_so_nsubj that 
mean_so_dobj firings 
bring_so_nsubj scores 
bring_so_dobj recognition 
use_so_nsubj who 
use_so_dobj SAT 
prosecuting_os_dobj Yeargin 
prosecuting_os_csubj prosecuting 
take_so_nsubj they 
take_so_dobj it 
cutting_o_dobj class 
was_s_nsubj enrollment 
suffered_so_nsubj predecessor 
suffered_so_dobj breakdown 
bled_s_nsubj teacher 
says_s_nsubj Ward 
having_so_nsubj school 
having_so_dobj trouble 
serving_o_dobj groups 
restore_o_dobj safety 
had_so_nsubj she 
had_so_dobj factors 
raised_so_nsubj which 
raised_so_dobj funding 
loved_so_nsubj I 
loved_so_dobj school 
dreamt_s_nsubj I 
worked_s_nsubj Yeargin 
applied_so_nsubj she 
applied_so_dobj pay 
won_so_nsubj She 
won_so_dobj money 
advised_o_dobj cheerleaders 
ran_o_dobj club 
proposed_o_dobj class 
had_so_nsubj who 
had_so_dobj Yeargin 
say_s_nsubj students 
distinguished_so_nsubj Yeargin 
distinguished_so_dobj herself 
using_o_dobj competitions 
see_s_nsubj You 
correcting_so_nsubj her 
correcting_so_dobj homework 
viewed_so_nsubj teachers 
viewed_so_dobj Yeargin 
meant_so_nsubj gains 
meant_so_dobj total 
Winning_os_dobj bonus 
Winning_os_csubj Winning 
demand_so_nsubj that 
demand_so_dobj hearing 
gave_o_dobj answers 
had_s_nsubj they 
says_s_nsubj she 
suffer_os_dobj that 
suffer_os_nsubj students 
goes_s_nsubj day 
needed_so_nsubj They 
needed_so_dobj somebody 
loved_so_nsubj who 
loved_so_dobj them 
needed_s_nsubj they 
found_so_nsubj They 
found_so_dobj students 
have_so_nsubj I 
have_so_dobj sympathy 
asks_s_nsubj Watson 
believe_s_nsubj I 
did_oss_dobj What 
did_oss_nsubj she 
did_oss_csubj did 
bring_os_dobj that 
bring_os_nsubj trial 
declined_s_nsubj Yeargin 
said_so_nsubj She 
said_so_dobj something 
was_s_nsubj It 
won_so_nsubj Yeargin 
won_so_dobj support 
decried_so_nsubj callers 
decried_so_dobj testing 
appeared_s_nsubj she 
give_so_nsubj show 
give_so_dobj particulars 
says_s_nsubj Watson 
like_s_nsubj they 
work_s_nsubj We 
did_oss_dobj what 
did_oss_nsubj she 
did_oss_csubj did 
says_s_nsubj Ward 
find_so_nsubj students 
find_so_dobj answer 
give_so_nsubj teachers 
give_so_dobj them 
contain_so_nsubj Worksheets 
contain_so_dobj questions 
is_s_nsubj difference 
aces_so_nsubj everybody 
aces_so_dobj test 
reach_so_nsubj materials 
reach_so_dobj students 
publishes_so_nsubj that 
publishes_so_dobj Materials 
devised_so_nsubj They 
devised_so_dobj scale 
awarding_o_dobj point 
says_s_nsubj Kaminski 
replicate_so_nsubj kits 
replicate_so_dobj many 
matched_s_nsubj Materials 
matched_s_nsubj High 
does_os_dobj that 
does_os_nsubj test 
know_os_dobj that 
know_os_nsubj graders 
contains_so_nsubj Materials 
contains_so_dobj examples 
have_s_nsubj students 
came_s_nsubj High 
purchased_so_nsubj McGraw-Hill 
purchased_so_dobj unit 
publishes_so_nsubj that 
publishes_so_dobj High 
has_so_nsubj which 
has_so_dobj offices 
had_so_nsubj S&L 
had_so_dobj assets 
includes_so_nsubj price 
includes_so_dobj companies 
involving_o_dobj transplants 
oppose_so_nsubj anti-abortionists 
oppose_so_dobj research 
using_o_dobj transplants 
involve_so_nsubj that 
involve_so_dobj transplants 
oppose_so_nsubj Mason 
oppose_so_dobj funding 
does_s_nsubj Bush 
began_s_nsubj controversy 
asked_s_nsubj Institutes 
placed_so_nsubj department 
placed_so_dobj moratorium 
pending_o_dobj review 
disturbs_so_nsubj handling 
disturbs_so_dobj scientists 
moves_s_nsubj progress 
conducting_o_dobj research 
involving_o_dobj tissues 
continue_s_nsubj funding 
result_s_nsubj research 
cause_so_nsubj that 
cause_so_dobj cancer 
cause_so_nsubj that 
cause_so_dobj syndrome 
spends_so_nsubj NIH 
spends_so_dobj $ 
boosted_so_nsubj hope 
boosted_so_dobj stocks 
added_so_nsubj index 
added_so_dobj 1.01 
averaged_so_nsubj volume 
averaged_so_dobj shares 
gained_so_nsubj index 
gained_so_dobj 1.39 
tracks_so_nsubj which 
tracks_so_dobj issues 
jumped_so_nsubj index 
jumped_so_dobj 3.23 
got_so_nsubj stocks 
got_so_dobj boost 
merged_s_nsubj banks 
said_s_nsubj traders 
permitting_o_dobj banking 
surged_so_nsubj which 
surged_so_dobj 3/4 
expires_s_nsubj that 
follows_so_nsubj who 
follows_so_dobj stocks 
rose_so_nsubj It 
rose_so_dobj 7/8 
trade_s_nsubj shares 
added_so_nsubj Centerbank 
added_so_dobj 5/8 
rose_so_nsubj shares 
rose_so_dobj 5/8 
leapt_so_nsubj Association 
leapt_so_dobj % 
gained_so_nsubj Savings 
gained_so_dobj 1 
assuming_o_dobj fluctuation 
surged_so_nsubj Weisfield 
surged_so_dobj 3/4 
gained_so_nsubj receipts 
gained_so_dobj 5/8 
begin_so_nsubj Ratners 
begin_so_dobj offer 
rose_so_nsubj ADRs 
rose_so_dobj 1/4 
tumbled_so_nsubj shares 
tumbled_so_dobj 4 
owns_so_nsubj which 
owns_so_dobj % 
slipped_so_nsubj Systems 
slipped_so_dobj 7/8 
had_so_nsubj SCI 
had_so_dobj income 
pay_soo_nsubj who 
pay_soo_iobj them 
pay_soo_dobj $ 
stem_s_nsubj warnings 
receives_so_nsubj who 
receives_so_dobj $ 
asks_s_nsubj form 
took_so_nsubj law 
took_so_dobj effect 
citing_o_dobj privilege 
acted_s_nsubj IRS 
received_so_nsubj who 
received_so_dobj letters 
received_oo_dobj himself 
received_oo_dobj forms 
pay_so_nsubj who 
pay_so_dobj cash 
have_so_nsubj who 
have_so_dobj accounts 
hire_so_nsubj they 
hire_so_dobj lawyers 
spark_o_dobj action 
passed_so_nsubj House 
passed_so_dobj resolution 
condemning_o_dobj requirement 
heads_so_nsubj who 
heads_so_dobj committee 
orders_so_nsubj court 
orders_so_dobj it 
result_s_nsubj that 
bring_so_nsubj which 
bring_so_dobj actions 
said_s_nsubj he 
asked_s_nsubj IRS 
received_s_nsubj it 
need_so_nsubj Prosecutors 
need_so_dobj permission 
used_o_dobj information 
takes_so_nsubj WAR 
takes_so_dobj victim 
ease_s_nsubj judges 
called_so_nsubj judge 
called_so_dobj conference 
make_so_nsubj judges 
make_so_dobj 89,500 
rejected_so_nsubj Congress 
rejected_so_dobj bill 
blinks_so_nsubj nobody 
blinks_so_dobj eye 
suing_so_nsubj Trudeau 
suing_so_dobj Guild 
involves_so_nsubj dispute 
involves_so_dobj Inc. 
began_so_nsubj guild 
began_so_dobj strike 
says_s_nsubj Trudeau 
included_so_nsubj strike 
included_so_dobj Darkhorse 
go_s_nsubj who 
seeks_so_nsubj suit 
seeks_so_dobj order 
preventing_o_dobj guild 
upheld_so_nsubj court 
upheld_so_dobj ruling 
include_so_nsubj that 
include_so_dobj services 
prohibits_so_nsubj rule 
prohibits_so_dobj use 
assist_so_nsubj that 
assist_so_dobj woman 
prohibits_so_nsubj rule 
prohibits_so_dobj funding 
encourage_so_nsubj that 
encourage_so_dobj abortion 
CLEARS_so_nsubj INQUIRY 
CLEARS_so_dobj JUDGE 
sentencing_o_dobj defendant 
involving_o_dobj homosexual 
goes_s_nsubj TRIAL 
began_so_nsubj Attorneys 
began_so_dobj arguments 
ended_s_nsubj trials 
joined_so_nsubj member 
joined_so_dobj firm 
specialize_s_nsubj He 
took_so_nsubj executive 
took_so_dobj step 
rebuked_so_nsubj leaders 
rebuked_so_dobj makers 
make_s_nsubj actions 
is_s_nsubj Fujitsu 
lost_so_nsubj NEC 
lost_so_dobj contract 
made_so_nsubj which 
made_so_dobj bid 
won_o_dobj lottery 
involved_o_dobj hardware 
summoned_so_nsubj Ministry 
summoned_so_dobj executives 
investigating_o_dobj bids 
added_s_nsubj he 
released_so_nsubj NEC 
released_so_dobj statement 
had_so_nsubj companies 
had_so_dobj reputation 
have_so_nsubj that 
have_so_dobj benefits 
comes_s_nsubj controversy 
having_o_dobj affairs 
made_so_nsubj Corp. 
made_so_dobj bid 
touch_s_nsubj bids 
make_s_nsubj Fujitsu 
came_s_nsubj controversy 
bid_so_nsubj it 
bid_so_dobj yen 
has_so_nsubj which 
has_so_dobj papers 
completed_so_nsubj Corp. 
completed_so_dobj sale 
retaining_o_dobj stake 
owns_so_nsubj which 
owns_so_dobj chain 
rose_so_nsubj Sales 
rose_so_dobj % 
bought_so_nsubj company 
bought_so_dobj plant 
makes_so_nsubj which 
makes_so_dobj software 
improve_so_nsubj that 
improve_so_dobj productivity 
reported_so_nsubj Corp. 
reported_so_dobj loss 
reflects_so_nsubj that 
reflects_so_dobj slowdown 
indicate_so_nsubj forecasts 
indicate_so_dobj environment 
make_o_dobj reductions 
equals_so_nsubj loss 
equals_so_dobj cents 
counting_o_dobj charge 
had_so_nsubj it 
had_so_dobj profit 
rose_so_nsubj Revenue 
rose_so_dobj % 
reflects_so_nsubj charge 
reflects_so_dobj wafers 
growing_s_nsubj industry 
facing_so_nsubj makers 
facing_so_dobj demand 
posted_so_nsubj dollar 
posted_so_dobj gains 
climbed_s_nsubj mark 
said_s_nsubj Trettien 
knows_s_nsubj Who 
opened_s_nsubj currency 
traced_so_nsubj Madison 
traced_so_dobj performance 
cites_so_nsubj He 
cites_so_dobj deal 
redeeming_o_dobj bonds 
showed_so_nsubj market 
showed_so_dobj interest 
measures_so_nsubj which 
measures_so_dobj health 
stood_s_nsubj index 
indicates_so_nsubj which 
indicates_so_dobj economy 
keeps_s_nsubj family 
laughing_s_nsubj millions 
bought_so_nsubj that 
bought_so_dobj reruns 
laughing_s_nsubj some 
air_so_nsubj that 
air_so_dobj shows 
